payloadsize	encrypt	decrypt
1930	0.0008066360	0.0006220690
1940	0.0007468660	0.0006187820
1950	0.0007473270	0.0006192300
1960	0.0007478580	0.0006193830
1970	0.0007470970	0.0006193320
1980	0.0007475280	0.0006236910
1990	0.0007484120	0.0006200600
2000	0.0007478460	0.0006198910
2010	0.0007480500	0.0006200660
2020	0.0007478000	0.0006199610
2030	0.0007514420	0.0006222910
2040	0.0007469210	0.0006193340
2050	0.0007476740	0.0006195130
2060	0.0007475870	0.0006199070
2070	0.0007468740	0.0006193510
2080	0.0007471600	0.0006196740
2090	0.0007466510	0.0006194980
2100	0.0007478070	0.0006204340
2110	0.0007471760	0.0006199600
2120	0.0007486080	0.0006235550
2130	0.0007476430	0.0006205530
2140	0.0007477400	0.0006202930
2150	0.0007477310	0.0006202920
2160	0.0007480290	0.0006208610
2170	0.0007483870	0.0006214820
2180	0.0007480410	0.0006210610
2190	0.0007478660	0.0006208570
2200	0.0007604980	0.0006307170
2210	0.0007510560	0.0006260730
2220	0.0007508050	0.0006250710
2230	0.0007511360	0.0006254070
2240	0.0007498260	0.0006245670
2250	0.0007504320	0.0006246770
2260	0.0007498720	0.0006224130
2270	0.0007506780	0.0006276790
2280	0.0007506980	0.0006231720
2290	0.0007507330	0.0006238020
2300	0.0007514590	0.0006237900
2310	0.0007510160	0.0006236760
2320	0.0007514330	0.0006240220
2330	0.0007506980	0.0006240870
2340	0.0007517620	0.0006248920
2350	0.0007512150	0.0006245650
2360	0.0007516940	0.0006245990
2370	0.0007506300	0.0006237380
2380	0.0007504250	0.0006235900
2390	0.0007524920	0.0006274960
2400	0.0007517080	0.0006267160
2410	0.0007569070	0.0006256160
2420	0.0007527750	0.0006259470
2430	0.0007509170	0.0006251250
2440	0.0007523530	0.0006256210
2450	0.0007518000	0.0006256830
2460	0.0007521630	0.0006255900
2470	0.0007520090	0.0006259750
2480	0.0007517630	0.0006259160
2490	0.0007512730	0.0006251500
2500	0.0007516060	0.0006255730
2510	0.0007520290	0.0006255880
2520	0.0007535010	0.0006295320
2530	0.0007533050	0.0006290740
2540	0.0007542130	0.0006299420
2550	0.0007545000	0.0006300240
2560	0.0007569360	0.0006292100
2570	0.0007536630	0.0006291440
2580	0.0007527730	0.0006281390
2590	0.0007525210	0.0006272240
2600	0.0007531870	0.0006295540
2610	0.0007529790	0.0006284720
2620	0.0007525140	0.0006291140
2630	0.0007522190	0.0006265110
2640	0.0007538850	0.0006295270
2650	0.0007530190	0.0006278520
2660	0.0007519370	0.0006272550
2670	0.0007547350	0.0006308790
2680	0.0007538070	0.0006295420
2690	0.0007525450	0.0006270570
2700	0.0007574580	0.0006281730
2710	0.0007536950	0.0006279200
2720	0.0007544760	0.0006297400
2730	0.0007527010	0.0006280450
2740	0.0007536860	0.0006460090
2750	0.0007543200	0.0006304500
2760	0.0007537580	0.0006284060
2770	0.0007539450	0.0006290770
2780	0.0007537950	0.0006286800
2790	0.0007545670	0.0006312730
2800	0.0007561420	0.0006321500
2810	0.0007553810	0.0006299860
2820	0.0007552690	0.0006304760
2830	0.0007544410	0.0006291200
2840	0.0007555550	0.0006301000
2850	0.0007584760	0.0006296910
2860	0.0007543470	0.0006295540
2870	0.0007548640	0.0006296920
2880	0.0007539180	0.0006296540
2890	0.0007551030	0.0006300270
2900	0.0007543000	0.0006294080
2910	0.0007546730	0.0006298560
2920	0.0007551350	0.0006302080
2930	0.0007553400	0.0006305870
2940	0.0007554740	0.0006305200
2950	0.0007547870	0.0006301220
2960	0.0007557880	0.0006312370
2970	0.0007551800	0.0006306710
2980	0.0007565580	0.0006317410
2990	0.0007562000	0.0006362640
3000	0.0007563220	0.0006318820
3010	0.0007557470	0.0006311760
3020	0.0007557650	0.0006313710
3030	0.0007563530	0.0006320680
3040	0.0007564210	0.0006326830
3050	0.0007561960	0.0006319720
3060	0.0007554870	0.0006315530
3070	0.0007558440	0.0006315180
3080	0.0007555950	0.0006319810
3090	0.0007564450	0.0006316830
3100	0.0007564660	0.0006326700
3110	0.0007574110	0.0006330680
3120	0.0007570450	0.0006326180
3130	0.0007567020	0.0006327680
3140	0.0007608460	0.0006326740
3150	0.0007564020	0.0006328760
3160	0.0007573290	0.0006332960
3170	0.0007570110	0.0006331940
3180	0.0007569530	0.0006333670
3190	0.0007571820	0.0006336660
3200	0.0007565830	0.0006336860
3210	0.0007570210	0.0006330930
3220	0.0007573070	0.0006336270
3230	0.0007569040	0.0006334730
3240	0.0007572380	0.0006335490
3250	0.0007573810	0.0006337830
3260	0.0007569270	0.0006340970
3270	0.0007579660	0.0006342610
3280	0.0007606830	0.0006401300
3290	0.0007577260	0.0006368720
3300	0.0007583860	0.0006348490
3310	0.0007585930	0.0006361580
3320	0.0007595070	0.0006371910
3330	0.0007587300	0.0006370750
3340	0.0007631370	0.0006408690
3350	0.0007576940	0.0006361760
3360	0.0007598360	0.0006372560
3370	0.0007586190	0.0006357800
3380	0.0007592700	0.0006361550
3390	0.0007594810	0.0006364260
3400	0.0007588360	0.0006362770
3410	0.0007591570	0.0006360000
3420	0.0007621580	0.0006359210
3430	0.0007592350	0.0006364900
3440	0.0007590570	0.0006361540
3450	0.0007585700	0.0006364130
3460	0.0007593360	0.0006369080
3470	0.0008109740	0.0006439900
3480	0.0007597690	0.0006369260
3490	0.0007593900	0.0006370830
3500	0.0007590060	0.0006366600
3510	0.0007597340	0.0006376400
3520	0.0007598380	0.0006378670
3530	0.0007599220	0.0006374170
3540	0.0007594780	0.0006376340
3550	0.0007599580	0.0006380840
3560	0.0007635750	0.0006384250
3570	0.0007601340	0.0006380720
3580	0.0007609850	0.0006385870
3590	0.0007607210	0.0006385630
3600	0.0007606510	0.0006388020
3610	0.0007606080	0.0006387340
3620	0.0007608330	0.0006388060
3630	0.0007611630	0.0006393510
3640	0.0007613570	0.0006395390
3650	0.0007620510	0.0006400130
3660	0.0007609730	0.0006390930
3670	0.0007614400	0.0006393290
3680	0.0007601840	0.0006389300
3690	0.0007612420	0.0006397820
3700	0.0007612700	0.0006400010
3710	0.0007617750	0.0006428550
3720	0.0007610930	0.0006394730
3730	0.0007613870	0.0006398400
3740	0.0007608790	0.0006400190
3750	0.0007612550	0.0006400440
3760	0.0007618160	0.0006408460
3770	0.0007621700	0.0006408070
3780	0.0007613290	0.0006402770
3790	0.0007640310	0.0006410230
3800	0.0007620030	0.0006416030
3810	0.0007610450	0.0006402970
3820	0.0007622130	0.0006413560
3830	0.0007616860	0.0006409100
3840	0.0007619190	0.0006411270
3850	0.0007654170	0.0006412490
3860	0.0007619610	0.0006412230
3870	0.0007620010	0.0006410420
3880	0.0007624260	0.0006418280
3890	0.0007626130	0.0006418210
3900	0.0007628470	0.0006414530
3910	0.0007622210	0.0006414540
3920	0.0007620420	0.0006416580
3930	0.0007625020	0.0006418330
3940	0.0007629430	0.0006421710
3950	0.0007624750	0.0006421310
3960	0.0007638330	0.0006432910
3970	0.0007648340	0.0006461250
3980	0.0007645230	0.0006448410
3990	0.0007652250	0.0006432850
4000	0.0007633320	0.0006432120
4010	0.0007628090	0.0006428310
4020	0.0007628870	0.0006427420
4030	0.0007640180	0.0006431810
4040	0.0007633090	0.0006429860
4050	0.0007628260	0.0006434990
4060	0.0007641140	0.0006439790
4070	0.0007644670	0.0006442330
4080	0.0007637010	0.0006442520
4090	0.0007640420	0.0006437340
4100	0.0007644910	0.0006442250
4110	0.0007634310	0.0006433850
4120	0.0007644920	0.0006445750
4130	0.0007638820	0.0006473660
4140	0.0007659010	0.0006459450
4150	0.0007655040	0.0006456810
4160	0.0007642710	0.0006449310
4170	0.0007642370	0.0006450050
4180	0.0007655940	0.0006457120
4190	0.0007648560	0.0006449790
4200	0.0007671930	0.0006460330
4210	0.0007664030	0.0006460920
4220	0.0007651030	0.0006457770
4230	0.0007648810	0.0006455420
4240	0.0007653400	0.0006460770
4250	0.0007650540	0.0006461840
4260	0.0007655560	0.0006464340
4270	0.0007659460	0.0006462270
4280	0.0007691370	0.0006462670
4290	0.0007649160	0.0006463540
4300	0.0007663960	0.0006464700
4310	0.0007662590	0.0006467240
4320	0.0007656100	0.0006466640
4330	0.0007666860	0.0006468880
4340	0.0007665260	0.0006474670
4350	0.0007666840	0.0006472410
4360	0.0007665700	0.0006479770
4370	0.0007656870	0.0006470410
4380	0.0007664210	0.0006472440
4390	0.0007661360	0.0006472050
4400	0.0007666940	0.0006474800
4410	0.0007667170	0.0006475260
4420	0.0007871080	0.0006478920
4430	0.0007671050	0.0006478620
4440	0.0007673620	0.0006485140
4450	0.0007687030	0.0006494130
4460	0.0007683130	0.0006490970
4470	0.0007675480	0.0006488980
4480	0.0007674400	0.0006491530
4490	0.0007677740	0.0006491460
4500	0.0007677460	0.0006490560
4510	0.0007675300	0.0006489420
4520	0.0007663140	0.0006484300
4530	0.0007671560	0.0006489840
4540	0.0007680130	0.0006496720
4550	0.0007668650	0.0006490220
4560	0.0007707680	0.0006499060
4570	0.0007681100	0.0006502830
4580	0.0007680830	0.0006496560
4590	0.0007670520	0.0006494190
4600	0.0007685700	0.0006507460
4610	0.0007690400	0.0006505610
4620	0.0007681290	0.0006504420
4630	0.0007689830	0.0006506180
4640	0.0007689410	0.0006504060
4650	0.0007695630	0.0006511020
4660	0.0007686610	0.0006519750
4670	0.0007688720	0.0006504170
4680	0.0007683370	0.0006502040
4690	0.0007692790	0.0006511000
4700	0.0007695890	0.0006546310
4710	0.0007694770	0.0006521890
4720	0.0007682770	0.0006513340
4730	0.0007695410	0.0006520130
4740	0.0007686320	0.0006516250
4750	0.0007692850	0.0006514330
4760	0.0007701950	0.0006521290
