payloadsize	encrypt	decrypt
1930	0.0060795300	0.0044152600
1940	0.0060710300	0.0044073200
1950	0.0060765300	0.0044121400
1960	0.0060705200	0.0044137500
1970	0.0060870400	0.0044137500
1980	0.0060708000	0.0044133900
1990	0.0060845200	0.0044197500
2000	0.0060863200	0.0044160000
2010	0.0060869100	0.0044103300
2020	0.0061048300	0.0044263800
2030	0.0061017500	0.0044209300
2040	0.0060810900	0.0044133900
2050	0.0060767700	0.0044125300
2060	0.0060977300	0.0044165000
2070	0.0060872900	0.0044214600
2080	0.0060862000	0.0044135600
2090	0.0060706900	0.0044365400
2100	0.0061084100	0.0044331000
2110	0.0060777400	0.0044131700
2120	0.0061027900	0.0044262300
2130	0.0060827100	0.0044151900
2140	0.0060745600	0.0044105600
2150	0.0060915700	0.0044224800
2160	0.0060803300	0.0044104600
2170	0.0060937900	0.0044220300
2180	0.0060863100	0.0044084600
2190	0.0060955100	0.0044111900
2200	0.0060728600	0.0044148000
2210	0.0060958900	0.0044250300
2220	0.0060872200	0.0044147800
2230	0.0060825200	0.0044169200
2240	0.0060866500	0.0044214400
2250	0.0060843400	0.0044202200
2260	0.0060784900	0.0044134700
2270	0.0060800800	0.0044279300
2280	0.0061034600	0.0044376500
2290	0.0060873400	0.0044219200
2300	0.0060816800	0.0044228000
2310	0.0060932600	0.0044215200
2320	0.0060767700	0.0044292300
2330	0.0060805500	0.0044198700
2340	0.0060837500	0.0044202600
2350	0.0060851000	0.0044269600
2360	0.0060801100	0.0044211300
2370	0.0060978200	0.0044201300
2380	0.0060860700	0.0044314100
2390	0.0060932700	0.0044249000
2400	0.0060949500	0.0044231800
2410	0.0060806300	0.0044181500
2420	0.0060837800	0.0044166400
2430	0.0060812800	0.0044277400
2440	0.0060856300	0.0044241200
2450	0.0060802400	0.0044217800
2460	0.0060834100	0.0044190300
2470	0.0061010600	0.0044302700
2480	0.0060841500	0.0044160800
2490	0.0060894200	0.0044240000
2500	0.0061250000	0.0044403200
2510	0.0060963300	0.0044319300
2520	0.0060907400	0.0044166700
2530	0.0060887200	0.0044330000
2540	0.0060859500	0.0044221000
2550	0.0061033700	0.0044230300
2560	0.0061029200	0.0044230100
2570	0.0061006600	0.0044390500
2580	0.0060928400	0.0044322800
2590	0.0060927900	0.0044256100
2600	0.0060900000	0.0044208900
2610	0.0060988200	0.0044289400
2620	0.0060912300	0.0044294900
2630	0.0060926200	0.0044353900
2640	0.0060864300	0.0044240100
2650	0.0060896200	0.0044271900
2660	0.0061150400	0.0044255700
2670	0.0060899200	0.0044290600
2680	0.0060816300	0.0044238800
2690	0.0061090100	0.0044364400
2700	0.0061001400	0.0044376900
2710	0.0060942800	0.0044293000
2720	0.0061018700	0.0044279700
2730	0.0060905800	0.0044326200
2740	0.0060905600	0.0044346000
2750	0.0061021400	0.0044331700
2760	0.0060994700	0.0044490100
2770	0.0060976000	0.0044330900
2780	0.0061080500	0.0044399600
2790	0.0061051300	0.0044366300
2800	0.0060957500	0.0044284500
